Base location,Destination,Mode of transport,CO2 Emission (in Kg)
Germany,Australia,Air,13.26871786
Germany,Italy,Air,2.102914104
USA,Brazil,Train,770.4365674
Germany,Brazil,Train,2487.012683
China,London,Sea,536.8625491
Germany,Canada,Air,0.560020164
USA,Australia,Sea,750.508685
Belgium,Australia,Sea,183.2145783
Japan,Canada,Sea,641.0774985
China,Brazil,Train,3729.422404
Belgium,Canada,Train,574.6571836
Japan,Brazil,Sea,134.9443378
China,Canada,Train,1051.951482
Germany,Brazil,Sea,315.9263065
Belgium,Canada,Sea,345.203854
Belgium,Italy,Air,21.95375341
Germany,Canada,Train,3443.001917
Belgium,Italy,Air,19.71944255
Germany,Canada,Sea,153.0596895
Japan,Australia,Air,17.33288875
Belgium,London,Air,29.31086159
Germany,Canada,Sea,436.5009591
USA,Italy,Air,5.344779532
Japan,London,Air,10.16221483
Germany,London,Air,11.97569502
China,Canada,Sea,673.0673805
Germany,Australia,Train,774.2414863
USA,Brazil,Air,14.13605386
Germany,Brazil,Sea,559.254809
Belgium,London,Train,589.2926288
China,Australia,Sea,1034.947392
Japan,Brazil,Air,5.941737856
China,Italy,Sea,159.7727082
China,London,Train,1495.717758
Japan,London,Sea,164.8051401
USA,Canada,Train,706.0835441
Belgium,Australia,Train,1131.794527
Belgium,Canada,Sea,294.5267405
Belgium,Italy,Sea,233.0657542
Germany,Australia,Air,4.909617028
China,London,Air,11.8064047
USA,Italy,Train,1122.129802
China,London,Train,6190.073472
China,Canada,Sea,47.46712998
USA,London,Sea,386.6528295
USA,Brazil,Sea,953.9221594
Germany,Italy,Sea,67.15956122
China,London,Sea,571.6488095
Japan,London,Air,0.876756104
Belgium,London,Sea,292.1684659
China,Australia,Train,3958.954394
Belgium,Italy,Sea,82.96640149
Belgium,London,Air,28.90666715
China,Brazil,Air,3.463357318
Japan,Italy,Sea,182.3512252
China,Australia,Train,3307.112813
Germany,Brazil,Air,7.229850574
Japan,Canada,Air,5.663122249
USA,Australia,Train,438.1931549
Belgium,Canada,Sea,74.83140771
Germany,Brazil,Train,3416.219762
China,Australia,Air,38.37004619
Belgium,Italy,Air,2.755254655
Germany,Italy,Air,11.90055597
Belgium,Australia,Air,2.574404243
Germany,Brazil,Train,5725.87376
China,Canada,Air,46.41376218
Germany,Australia,Sea,452.1326676
Belgium,Canada,Train,2478.513045
Germany,Italy,Train,907.6379252
Belgium,Italy,Air,8.914635273
Belgium,Canada,Train,4017.562827
USA,London,Train,1620.620983
Japan,Australia,Train,2343.562536
China,Canada,Sea,133.8760195
USA,Australia,Sea,172.8456706
Japan,Australia,Sea,131.2257283
Belgium,Italy,Sea,89.19457023
USA,London,Sea,502.7763502
China,Australia,Train,1033.18209
China,London,Train,2335.90843
Japan,Canada,Train,428.9141672
Japan,Brazil,Train,2268.460832
USA,Brazil,Sea,89.77672984
Germany,Brazil,Train,663.6810788
Germany,Italy,Air,46.22996427
USA,Canada,Air,3.655349236
USA,Canada,Sea,121.3991918
Japan,London,Train,508.9703653
China,Brazil,Train,1089.386187
Japan,London,Sea,190.254417
Japan,Brazil,Sea,113.2845232
China,London,Sea,498.4694806
USA,Canada,Train,5324.869148
Belgium,Italy,Train,9184.483388
China,London,Train,649.5450788
USA,Australia,Train,6641.755322
China,Brazil,Sea,53.58376445
Belgium,London,Train,1538.782656
Japan,London,Sea,68.46255523
Belgium,Canada,Train,879.9242155
Belgium,Brazil,Train,1638.016642
China,Brazil,Sea,68.73793697
China,Italy,Sea,244.6268245
Japan,Australia,Air,21.98517014
Germany,Australia,Train,944.2436172
Germany,Brazil,Train,453.5861002
Germany,Italy,Air,4.910036925
Japan,Italy,Train,7419.885669
China,Australia,Air,19.48300349
Japan,London,Sea,17.11631238
Germany,Brazil,Train,939.9349938
Japan,Italy,Air,3.04323552
Japan,London,Sea,337.9760745
China,Italy,Train,930.1496421
USA,Brazil,Train,1608.113761
Germany,Brazil,Sea,136.6037458
USA,Canada,Train,1490.282358
Germany,London,Air,13.52983387
Germany,Australia,Sea,528.7399346
Japan,Italy,Train,1465.569541
China,Canada,Train,4047.439222
Japan,London,Air,22.51283891
Germany,London,Sea,444.9290934
USA,Canada,Train,642.1671097
USA,London,Air,26.98692445
Belgium,Australia,Train,5516.846145
USA,Australia,Train,2822.683605
China,London,Air,9.756635215
USA,Italy,Air,22.96180068
China,Italy,Sea,20.95978249
USA,Australia,Sea,21.98491058
China,Canada,Sea,756.9558716
Japan,Italy,Sea,160.1957054
Belgium,London,Air,14.6436133
China,Brazil,Sea,169.6870059
USA,London,Sea,192.1927343
USA,Australia,Air,9.684532114
Japan,Australia,Sea,1125.004594
USA,Brazil,Air,1.863604796
Germany,Australia,Sea,287.7631629
China,Brazil,Air,29.84915987
Germany,Italy,Air,27.93030947
Germany,London,Air,17.36723884
Germany,Brazil,Sea,244.8590162
Belgium,London,Train,1975.045485
Germany,Australia,Air,37.54670018
Japan,Australia,Sea,242.6326329
Belgium,Italy,Train,2406.841701
USA,London,Air,6.645703607
Germany,Australia,Sea,308.9318603
Germany,Brazil,Air,13.65454216
Germany,London,Train,1930.344401
China,Italy,Train,8590.043001
China,Australia,Train,1223.020794
China,Brazil,Train,8535.6645
USA,Australia,Sea,972.1933123
China,Italy,Sea,63.77959015
USA,Canada,Air,2.319874588
Belgium,Canada,Train,1773.465711
USA,London,Sea,177.9449655
China,London,Air,20.96561145
Germany,Brazil,Train,288.85226
China,Canada,Train,2578.448716
Germany,Australia,Train,1720.074104
China,Australia,Air,27.99273521
Belgium,Italy,Sea,151.4502103
China,Italy,Air,4.543776798
Japan,Canada,Train,2473.730583
Japan,Canada,Train,1792.146675
Belgium,Canada,Train,148.5973676
Belgium,Brazil,Train,3361.602697
Japan,Australia,Sea,40.89274069
USA,London,Sea,95.74119396
China,Canada,Train,846.5276413
Germany,Canada,Train,304.7961905
Japan,London,Train,2723.259779
China,Canada,Sea,260.0227501
Germany,Australia,Sea,647.4657478
Germany,London,Sea,167.296336
China,Italy,Sea,479.9403734
Belgium,Italy,Train,10643.24617
China,Canada,Air,10.46744882
China,Australia,Train,2496.352916
Belgium,Brazil,Air,7.96859623
China,Canada,Sea,572.3985481
USA,Brazil,Train,917.5752642
Germany,Canada,Train,1689.283259
Belgium,Brazil,Air,17.37915117
USA,Italy,Air,2.779858975
Japan,Canada,Sea,784.418799
Belgium,Brazil,Air,3.875884087
USA,Australia,Sea,464.6478213
Belgium,London,Train,6080.710739
Germany,London,Air,30.23161333
Belgium,London,Air,1.347016605
Japan,Italy,Sea,237.0175758
USA,Australia,Air,28.78639483
USA,Italy,Air,10.06724822
Germany,London,Air,8.088647295
Germany,Canada,Sea,979.5099836
Germany,Italy,Air,28.18803585
Belgium,Italy,Train,1072.804235
Japan,Australia,Air,16.52289273
Germany,Brazil,Sea,279.5636697
USA,Australia,Sea,901.1342336
USA,London,Train,3140.257013
Belgium,Canada,Air,31.92261649
Japan,Australia,Train,773.6929754
Belgium,London,Air,36.16063235
USA,London,Air,5.663711017
China,London,Train,1869.297105
Germany,Brazil,Air,6.466979203
China,Australia,Train,4530.074706
China,Italy,Train,472.1866637
Germany,Italy,Sea,204.7452207
Belgium,Brazil,Air,10.62070973
Japan,Italy,Train,548.3466731
Belgium,Canada,Sea,37.75029802
USA,Canada,Air,0.617090311
Germany,Canada,Train,1853.029379
Germany,London,Sea,254.6154226
Germany,London,Train,2830.808416
Japan,Canada,Train,1170.39021
Japan,Australia,Train,1866.739893
Belgium,Australia,Train,128.391074
Japan,London,Train,519.61282
Belgium,Italy,Train,92.08497274
Japan,London,Sea,92.73631801
China,Italy,Sea,199.0571289
USA,Italy,Train,714.7429513
Germany,London,Sea,454.0127906
Germany,London,Train,4584.386177
USA,Brazil,Air,4.853353548
USA,Canada,Train,236.073449
Japan,Australia,Train,9838.909703
Japan,Italy,Sea,193.4210734
Japan,London,Sea,142.3481572
Japan,Brazil,Air,9.079350518
Belgium,Brazil,Air,25.78065641
USA,Brazil,Air,11.47982033
Japan,Australia,Sea,411.5472939
Belgium,Australia,Air,23.56763511
Japan,Canada,Sea,111.5546193
Belgium,Brazil,Train,1164.409002
Japan,Italy,Sea,254.6727312
Japan,Italy,Train,2887.844075
USA,London,Air,29.94070054
Germany,Canada,Sea,53.91568997
China,Italy,Sea,106.9872908
China,Australia,Air,22.93306498
Germany,Australia,Air,4.2408513
Belgium,Italy,Air,7.611024215
China,Canada,Train,1326.900456
USA,Canada,Air,3.413916791
Belgium,Brazil,Train,2045.615728
USA,Italy,Train,988.7348316
China,London,Sea,89.15519103
Germany,Canada,Train,1288.302328
China,Australia,Train,844.0302327
Belgium,Australia,Train,8840.830062
USA,Canada,Sea,47.83648406
USA,Brazil,Air,13.76134586
Germany,Brazil,Sea,45.23532092
Japan,Brazil,Train,576.7375091
Germany,Italy,Train,593.0320598
Japan,Italy,Sea,326.5531637
Belgium,Italy,Sea,354.9678808
USA,Brazil,Air,6.25269921
Belgium,Canada,Sea,302.8054703
Belgium,London,Air,3.681058433
Germany,Brazil,Sea,627.4672261
Belgium,Australia,Train,1660.122599
Germany,London,Sea,39.55518191
USA,London,Sea,70.43643847
USA,Canada,Air,17.85661021
China,Italy,Sea,345.712323
Germany,Brazil,Air,16.03791485
USA,Brazil,Train,318.1551777
China,Australia,Sea,743.2689789
Belgium,Canada,Train,2985.787639
Japan,Brazil,Air,13.29658194
Germany,Australia,Train,3939.62867
Belgium,Brazil,Train,1174.283195
USA,London,Air,25.99041995
USA,Canada,Train,849.814073
Belgium,London,Train,5542.129932
USA,London,Train,2623.429698
China,Australia,Air,14.42105405
Japan,Canada,Sea,57.10897273
Belgium,London,Air,32.76374336
Germany,Canada,Air,11.78347312
China,Canada,Train,608.809834
Belgium,Brazil,Train,1763.600801
Japan,Italy,Sea,722.2187861
Japan,Canada,Air,24.12979379
China,Italy,Sea,279.5806698
Belgium,Italy,Air,2.890943048
Germany,London,Air,17.378681
Belgium,Australia,Train,2384.018317
China,London,Sea,194.2928677
USA,London,Air,6.257706432
Belgium,Australia,Sea,444.6997832
Japan,Italy,Sea,233.3333213
Belgium,Canada,Air,6.315768369
China,Italy,Train,324.0874462
Belgium,London,Air,13.05131717
China,Brazil,Train,3205.588302
USA,Australia,Sea,309.6966503
Belgium,Italy,Air,52.80390724
Japan,London,Air,5.041691361
China,Brazil,Air,39.47744899
Japan,Canada,Air,16.33200786
Belgium,London,Sea,162.0170746
USA,London,Train,682.118674
Japan,Italy,Air,15.31147467
Germany,Australia,Air,27.99227447
Belgium,Australia,Sea,373.4506486
Germany,Italy,Sea,93.20143826
Japan,Australia,Sea,212.1773647
USA,Australia,Air,10.10240483
USA,Brazil,Train,4279.012996
China,Brazil,Sea,34.90209318
China,Italy,Sea,81.69700369
Belgium,Canada,Train,1919.424386
USA,Italy,Train,834.6410904
Belgium,Brazil,Train,439.648553
Germany,London,Train,320.2467768
China,London,Sea,409.0931606
China,Canada,Sea,274.341778
Japan,London,Train,1626.232097
China,London,Air,2.667217548
USA,Australia,Train,727.1705307
USA,Australia,Sea,395.3563661
USA,Brazil,Air,20.58593287
Japan,Australia,Air,11.94510488
Belgium,London,Sea,397.7923235
Japan,London,Train,1533.25607
Japan,Brazil,Train,3351.795971
Belgium,Italy,Train,341.7270113
USA,Australia,Sea,660.1480161
Germany,Italy,Air,21.87795743
Belgium,Australia,Train,2038.487666
Belgium,Australia,Train,2776.683993
Japan,Australia,Sea,170.9075923
China,Canada,Air,4.595023431
USA,London,Train,2923.367156
China,London,Air,19.19059833
USA,Canada,Sea,574.7139039
Belgium,Australia,Air,11.09206394
China,London,Air,35.23362782
USA,Canada,Sea,557.2080373
USA,Australia,Sea,107.1465965
Belgium,Canada,Train,902.2337095
Germany,Canada,Air,6.506529709
Belgium,Australia,Air,43.66220477
Germany,Canada,Air,6.860426449
Belgium,Canada,Train,6439.570288
Belgium,Canada,Sea,224.1406068
China,London,Air,10.31247949
China,London,Air,1.137755997
Belgium,Brazil,Train,2829.693789
Germany,Italy,Air,20.60343722
Germany,Canada,Sea,348.9072446
Germany,Canada,Air,7.744556276
Belgium,Australia,Air,13.22713506
Germany,Brazil,Sea,523.4819392
China,Italy,Train,4732.001782
China,London,Air,2.450886791
China,Brazil,Train,1390.912433
USA,London,Air,4.135326087
Japan,Brazil,Train,2198.240393
Japan,London,Train,1489.336512
Germany,Italy,Sea,162.6588001
Japan,Canada,Train,2447.682203
Germany,Brazil,Sea,901.7666521
USA,Canada,Air,1.965303711
Germany,Australia,Sea,304.0098827
Germany,Brazil,Sea,341.8874984
USA,London,Train,1563.699697
China,Italy,Sea,310.0452861
Japan,Canada,Train,934.5338495
Germany,Canada,Air,0.866746805
Germany,Australia,Train,761.4470495
China,Brazil,Air,17.04037233
Germany,Italy,Air,10.88868346
Belgium,Italy,Sea,396.4615055
Japan,London,Sea,326.7599603
Belgium,London,Sea,546.8037825
Belgium,London,Air,25.71230561
Japan,Australia,Train,10241.47751
Japan,Australia,Train,5276.995364
Germany,Italy,Air,11.39952413
Germany,Canada,Sea,626.2424557
Germany,Italy,Air,13.29524132
Germany,Brazil,Air,41.47990876
Germany,Australia,Train,1465.704936
Germany,Italy,Air,11.18037582
USA,Brazil,Air,10.38617694
Germany,Italy,Air,9.380608767
Belgium,Australia,Sea,639.1826515
Japan,London,Sea,58.67876245
USA,Brazil,Air,38.05184905
USA,Brazil,Air,25.91756298
China,London,Train,1455.228415
USA,Italy,Sea,1380.193295
USA,Canada,Air,0.579109514
China,London,Air,18.32253077
Japan,Canada,Train,3895.99967
USA,Brazil,Train,153.0390988
Germany,Brazil,Train,533.6998497
Belgium,Canada,Train,848.9547993
Japan,London,Train,4903.886363
Germany,Italy,Train,11150.76499
USA,Canada,Air,43.51826449
Germany,Canada,Sea,194.7577787
Belgium,Brazil,Sea,112.4975061
Germany,Australia,Sea,264.8780262
Belgium,London,Sea,118.154273
Japan,London,Sea,68.56922738
Belgium,Brazil,Train,2227.224643
USA,Canada,Train,1400.904092
Germany,Brazil,Air,7.558034698
USA,Canada,Air,6.904114109
Belgium,London,Train,3240.423444
China,Brazil,Sea,93.60882321
Belgium,Italy,Sea,120.3114308
China,Brazil,Train,5298.550549
Japan,Canada,Air,26.9786614
Germany,London,Train,6502.730493
Japan,Australia,Air,13.68176193
Germany,Canada,Air,26.56492797
Germany,Italy,Sea,175.0360176
Germany,Canada,Sea,256.9800006
Belgium,Brazil,Air,21.0859115
Germany,Australia,Air,5.218635221
Germany,Brazil,Air,2.153344358
Germany,Italy,Sea,394.4738195
Belgium,Brazil,Air,6.383903255
China,Italy,Air,8.069979411
Belgium,Canada,Sea,171.5749939
Germany,London,Air,2.650009317
China,Australia,Air,20.13180462
Germany,Brazil,Sea,647.1270222
USA,Brazil,Train,2581.449158
Germany,Australia,Air,15.55770467
Belgium,Australia,Sea,420.1489658
China,Australia,Train,660.4164164
China,Canada,Sea,289.9001918
China,Canada,Air,27.4124288
USA,Australia,Air,6.319565028
Belgium,Brazil,Train,1656.960123
Belgium,Brazil,Air,0.711964925
USA,Italy,Air,22.85480904
Belgium,Canada,Air,10.54350504
Japan,Australia,Sea,38.46129839
China,Italy,Air,1.694730954
Belgium,Canada,Train,502.8596464
Japan,Australia,Sea,794.0723155
Germany,Canada,Train,1651.299525
Belgium,London,Air,5.382032142
Belgium,Italy,Train,1274.929939
Japan,Australia,Train,246.4545767
USA,Italy,Air,1.715643192
China,Australia,Sea,79.07461486
USA,Italy,Air,19.65488216
USA,London,Air,13.94164577
Japan,Italy,Air,18.14012214
USA,Australia,Air,32.04850888
China,Italy,Train,2558.317388
Japan,Brazil,Sea,53.55275548
Belgium,Italy,Sea,402.7790998
China,Australia,Train,1260.891734
Belgium,London,Sea,360.842789
Belgium,Canada,Train,2221.626318
USA,Canada,Train,789.5741023
USA,London,Sea,184.2827335
China,Australia,Air,47.07344269
China,Italy,Sea,355.7838058
China,London,Air,6.76475884
Japan,Australia,Air,26.03708635
Germany,Brazil,Sea,148.1038301
Japan,Australia,Train,5201.83924
China,Australia,Sea,371.6208576
Germany,Australia,Air,17.65564785
Japan,Australia,Train,1073.797553
Belgium,London,Sea,402.4069119
USA,London,Train,2175.494784
Germany,Brazil,Train,929.1014879
Belgium,Italy,Train,242.6049224
China,London,Train,405.6267348
Belgium,Brazil,Train,710.2367276
USA,Brazil,Sea,61.7330182
Germany,Canada,Train,487.6486975
USA,Australia,Train,200.4893704
China,Australia,Train,4263.60527
USA,London,Air,15.40339352
Japan,Brazil,Train,2642.417632
China,London,Air,14.76049011
Belgium,Italy,Train,396.9669908
Japan,Australia,Train,3015.494399
USA,Italy,Sea,34.60605035
Belgium,Canada,Air,36.82587976
Belgium,Brazil,Air,25.14352897
Germany,Italy,Air,24.96966573
USA,Brazil,Sea,225.0991422
Germany,Australia,Air,46.48956006
China,Italy,Air,13.64893321
Germany,Australia,Sea,141.6470305
USA,Brazil,Train,3958.799643
Germany,Italy,Sea,153.8029731
China,Brazil,Train,2024.601349
Japan,Italy,Train,767.746847
China,London,Sea,186.8707285
USA,Brazil,Air,12.80785855
Belgium,Canada,Sea,313.8925704
Japan,Australia,Train,3425.623254
China,Australia,Sea,653.9103466
China,Australia,Train,794.2227838
China,Canada,Sea,1141.086894
Germany,Brazil,Air,41.82040384
Japan,Canada,Air,43.82355417
Germany,London,Air,7.559390363
China,Canada,Air,5.607778843
China,Brazil,Sea,839.3614118
Germany,Italy,Air,14.85972948
Germany,Canada,Air,7.715778323
Japan,Canada,Sea,142.8530671
USA,London,Sea,623.3902771
Germany,Australia,Sea,396.763393
Belgium,Australia,Train,634.2377543
Germany,London,Train,433.3124409
USA,Italy,Air,2.995417084
Japan,Italy,Train,2640.436561
China,Italy,Train,1397.270588
China,London,Air,3.014704417
China,London,Sea,71.11539272
Japan,Brazil,Train,2462.503449
China,Italy,Air,2.826254593
Germany,Italy,Air,47.02824425
USA,Brazil,Air,2.272740259
Belgium,Australia,Train,1074.326062
China,Canada,Sea,94.29071483
China,Brazil,Air,7.768011888
Japan,Australia,Air,16.61602267
China,London,Train,2118.885207
Japan,London,Sea,350.8588863
Germany,Australia,Air,18.94766129
Germany,Brazil,Train,2607.145951
Japan,Australia,Train,1977.798889
China,Australia,Air,3.676473908
USA,Brazil,Train,195.9006529
China,Brazil,Sea,140.5832152
China,Brazil,Train,1457.604819
China,London,Train,5000.420538
China,Australia,Sea,71.1919495
Germany,Australia,Train,1213.642135
Germany,Australia,Sea,29.24323742
USA,Brazil,Train,2853.20071
Japan,Italy,Train,3477.640348
China,London,Sea,316.2056509
Japan,Australia,Air,16.53152852
China,Italy,Train,5285.345967
Belgium,Australia,Air,12.96599806
Germany,Australia,Sea,52.66773841
China,Australia,Train,2225.112029
Belgium,London,Train,2735.929377
Germany,London,Air,7.89875011
Germany,Australia,Air,8.020053332
China,London,Train,3202.415812
USA,London,Train,11112.89055
Japan,Italy,Train,1472.099486
China,Australia,Air,10.42922754
Japan,Italy,Air,5.520760794
Germany,Canada,Train,1717.941793
USA,Brazil,Air,29.58629635
USA,Canada,Train,2002.719026
China,London,Air,3.076736617
Belgium,Brazil,Air,8.059242169
USA,London,Train,3169.705117
Japan,Italy,Air,8.861329453
USA,London,Train,3514.963593
USA,Canada,Train,4003.737111
China,Italy,Sea,132.9028044
China,London,Air,5.20583381
China,Italy,Train,1098.05962
Japan,Brazil,Train,5841.281988
USA,Brazil,Air,5.342666773
China,London,Sea,512.685243
USA,London,Sea,516.7835657
China,Brazil,Train,1847.891447
Japan,Australia,Sea,486.4425002
USA,London,Air,0.973161073
Japan,Canada,Air,4.168440247
USA,Australia,Sea,7.055118457
Belgium,Brazil,Train,1142.790537
Belgium,Brazil,Train,8561.226465
Japan,Italy,Air,5.884482809
Japan,Brazil,Sea,339.7533016
USA,Brazil,Train,2663.972056
Germany,Canada,Air,5.718485569
Belgium,Australia,Sea,517.1729084
Japan,Brazil,Air,6.757110298
USA,Brazil,Sea,134.0264087
China,Australia,Train,791.0248101
USA,Italy,Sea,1010.437185
Belgium,Canada,Train,549.065345
China,London,Air,11.60517697
China,Australia,Sea,62.63284784
Belgium,Brazil,Air,9.767858266
Germany,Australia,Train,1791.433674
Japan,Canada,Sea,104.28192
Germany,Australia,Air,4.127330272
Belgium,Italy,Sea,590.1260323
China,Canada,Train,5941.562335
Japan,Brazil,Train,7238.787046
Germany,Australia,Air,7.39839778
Belgium,Italy,Train,2880.577535
Belgium,London,Air,8.143424504
USA,Italy,Train,353.2223057
China,Italy,Train,684.9869873
China,Canada,Sea,147.3958564
Germany,London,Air,40.54712437
USA,Brazil,Train,5222.282332
Germany,Brazil,Sea,35.0816779
Germany,Canada,Train,2204.753381
Japan,Australia,Air,10.03583722
Belgium,Brazil,Air,37.28030693
Japan,Australia,Sea,146.3615282
Belgium,Australia,Air,4.00175273
USA,Canada,Air,34.8748074
Japan,Italy,Air,13.42369053
USA,Brazil,Train,677.4330289
China,London,Train,342.1664791
China,Brazil,Air,16.01538472
China,Canada,Sea,98.04690031
Germany,Brazil,Air,0.996414317
Belgium,Brazil,Air,21.10285461
Japan,London,Sea,71.54937041
Germany,Canada,Air,11.07497129
Germany,Canada,Sea,50.31755617
Belgium,Canada,Train,532.9754855
Belgium,London,Train,1592.535404
Germany,Canada,Air,20.14950143
Japan,London,Air,30.76678021
USA,Brazil,Sea,210.7388014
Japan,Brazil,Air,19.15571581
USA,London,Sea,23.17151101
Japan,London,Air,36.32683269
Germany,Canada,Train,2659.612672
Germany,Italy,Train,1073.532765
USA,London,Air,13.88370913
Germany,Brazil,Air,8.252464716
China,Canada,Sea,245.331198
Germany,Australia,Train,6258.66679
Japan,Canada,Air,16.52625107
China,Italy,Air,8.723880805
USA,Canada,Train,1262.08726
Belgium,Canada,Train,1406.439217
Germany,London,Air,7.38447164
Belgium,Brazil,Air,8.185628336
USA,Australia,Train,594.005087
China,Brazil,Sea,1762.259661
China,London,Air,12.66990282
Japan,Brazil,Train,451.5107413
China,Italy,Sea,94.31473934
Japan,Canada,Air,12.61643313
Belgium,Canada,Air,16.06739854
Japan,London,Air,5.872619627
Japan,London,Sea,164.0707605
Japan,Australia,Sea,453.0340399
Germany,Brazil,Air,33.92838535
Germany,Canada,Air,32.91218791
China,Canada,Sea,54.57255447
USA,Canada,Train,2892.397962
USA,Australia,Sea,129.7644134
China,London,Sea,178.5784022
Belgium,Brazil,Air,30.66711439
China,Australia,Sea,1500.035834
Japan,Australia,Train,412.7472419
USA,Australia,Air,18.29305204
Japan,Australia,Air,3.728209056
USA,London,Train,1911.211664
USA,London,Sea,143.3519804
Germany,Italy,Sea,287.2437334
Germany,Australia,Train,1994.038049
Belgium,Brazil,Sea,336.2424131
Belgium,Brazil,Air,35.35714474
Germany,Canada,Train,1651.935608
China,Australia,Train,2254.21129
Japan,Brazil,Air,25.73584439
USA,Italy,Train,1263.724807
USA,Italy,Air,5.803273477
China,Canada,Air,1.92274517
Belgium,Canada,Sea,54.75356531
Japan,Canada,Sea,666.7508656
Belgium,London,Air,2.400268652
Belgium,London,Air,22.99859175
USA,Australia,Sea,186.5599759
Belgium,Italy,Train,597.4261089
USA,London,Train,1374.619128
Belgium,Brazil,Sea,201.9326024
Belgium,Canada,Air,22.84077757
USA,London,Sea,129.8667679
Japan,Canada,Sea,100.0529717
Germany,Italy,Sea,369.0090435
Belgium,London,Air,13.76813692
Belgium,Australia,Air,9.02725876
Belgium,Australia,Air,1.142902976
Japan,Brazil,Air,2.792233517
Germany,London,Train,784.1444017
Japan,Italy,Air,50.43248943
Germany,Canada,Sea,131.4413199
USA,Italy,Air,5.075621907
Japan,Canada,Train,4850.355632
China,London,Train,1369.304927
USA,Canada,Sea,156.7195529
Belgium,Italy,Air,6.287502494
Belgium,Brazil,Train,3488.374122
China,Canada,Train,3230.722515
Germany,Italy,Sea,72.513725
Belgium,London,Sea,109.5516598
Germany,Australia,Train,2192.53354
China,London,Train,735.3529239
Belgium,Australia,Train,2164.847083
Germany,London,Sea,287.4676504
China,Australia,Sea,1203.629185
Japan,Canada,Train,2703.443586
USA,Canada,Air,52.20634206
USA,Italy,Sea,397.223585
Japan,Canada,Air,15.55457745
Belgium,Canada,Air,23.67790151
USA,Australia,Train,4768.080194
Germany,Australia,Sea,97.12715818
Japan,London,Sea,85.06452476
Germany,Canada,Sea,66.09070456
Belgium,London,Sea,345.9781901
Germany,London,Air,1.959203481
Belgium,Italy,Train,3571.420636
USA,Brazil,Sea,330.1191361
Japan,Australia,Air,11.96875142
USA,Canada,Sea,27.03502102
Germany,Australia,Sea,117.9420649
Germany,Italy,Sea,919.061138
China,Brazil,Sea,377.3119747
Germany,London,Air,49.80387503
Japan,Italy,Air,18.49456599
USA,Canada,Sea,66.77929142
Germany,Brazil,Sea,228.0376239
Belgium,Brazil,Air,15.76022613
Japan,London,Sea,724.7043936
Japan,Italy,Air,9.999857507
China,Australia,Train,3052.508357
China,London,Train,465.553586
USA,Italy,Air,12.48911048
Germany,London,Air,20.82899994
USA,Brazil,Train,765.212532
Japan,London,Air,38.06252845
Belgium,Italy,Air,14.75587454
China,Brazil,Sea,268.0112881
USA,Canada,Sea,107.6345174
Belgium,London,Air,16.61917585
Belgium,Australia,Train,539.4339991
Belgium,Canada,Sea,93.53580824
Belgium,Brazil,Train,4458.594631
Belgium,Brazil,Sea,144.6926594
USA,London,Train,64.63527711
Germany,Canada,Train,1230.096353
USA,Canada,Air,27.25463323
Germany,London,Sea,679.6395269
China,Canada,Train,648.6790739
Japan,Brazil,Air,4.261957777
Belgium,Brazil,Sea,386.3053557
Germany,Brazil,Train,3580.635575
USA,Italy,Train,892.185921
Japan,Australia,Air,2.906701039
Belgium,London,Air,4.427452215
USA,Canada,Sea,292.7106063
USA,Australia,Sea,123.2131849
China,Brazil,Train,5686.594308
Japan,Italy,Train,1811.881859
Germany,London,Train,298.0509616
USA,Italy,Train,5217.85989
USA,Canada,Train,849.7263615
Japan,Canada,Train,642.5716691
China,London,Air,0.924251965
Japan,Italy,Air,2.34703674
Belgium,Canada,Sea,1275.663799
China,Canada,Train,4585.799893
Germany,Australia,Air,2.680552713
Germany,Brazil,Air,25.02056918
Japan,Australia,Air,10.11805686
China,Brazil,Air,4.057696107
Belgium,London,Sea,322.7722554
Belgium,Canada,Train,960.621178
Belgium,Australia,Sea,213.36606
Belgium,London,Train,5741.827726
China,Italy,Sea,622.5285791
Japan,London,Train,1423.761935
Japan,Australia,Sea,289.8489748
Germany,London,Train,684.2699935
Germany,Australia,Train,165.0434661
USA,Italy,Sea,234.2047633
Belgium,London,Sea,81.86950452
USA,London,Train,1155.056245
Germany,London,Air,9.864348311
China,Brazil,Sea,38.04417823
Japan,Canada,Train,3737.71458
China,Canada,Sea,16.33407956
Japan,Australia,Air,1.811030121
China,Australia,Air,3.581730314
Japan,Brazil,Sea,567.3116305
Belgium,London,Air,18.92944103
Germany,Brazil,Train,2374.460474
Japan,Australia,Sea,145.4861844
China,Italy,Train,1198.426617
China,Canada,Air,4.311306188
Germany,Italy,Train,2137.241847
Germany,Brazil,Train,894.5104733
USA,Canada,Train,2166.684484
USA,London,Air,12.63459356
Japan,Canada,Sea,373.022612
Germany,London,Sea,447.7729136
Belgium,Australia,Air,6.440021122
Japan,Brazil,Sea,304.6398192
Germany,Italy,Sea,67.43486947
China,Italy,Sea,293.9626297
Japan,London,Train,951.7356318
Belgium,Brazil,Air,5.213892806
China,Italy,Train,7318.02688
Belgium,Brazil,Air,40.43767206
USA,Brazil,Train,1717.997837
Germany,Canada,Train,3061.736688
Germany,Canada,Air,11.80152824
Japan,Italy,Train,401.7255249
China,Canada,Air,36.81818181
China,London,Air,2.71510652
Germany,Australia,Train,1831.043651
Japan,Canada,Train,1264.543447
China,Australia,Sea,484.6603327
